spi2,prob2,proj_score2,importance2,score2,xg2,nsxg2
54.68,0.0273,0.2,0.0,0.0,0.3,0.84
57.96,0.3886,1.29,30.9,3.0,1.71,1.45
68.34,0.1998,1.39,0.0,1.0,0.79,0.87
41.85,0.2713,0.9,0.0,0.0,0.9,0.68
81.98,0.1871,1.06,90.3,3.0,1.63,1.4
43.1,0.2708,1.03,22.8,3.0,0.86,1.27
68.31,0.2894,1.07,33.1,0.0,0.16,0.64
63.4,0.2106,0.79,25.8,1.0,1.34,1.24
60.54,0.1298,0.74,15.5,1.0,1.97,0.96
47.84,0.2704,1.15,52.4,1.0,0.65,0.81
45.46,0.3391,1.08,1.0,0.0,0.31,0.59
59.26,0.6021,2.36,15.2,0.0,0.99,1.97
52.93,0.3635,1.05,8.8,1.0,0.84,0.44
50.27,0.2618,1.2,15.7,1.0,1.02,1.41
38.12,0.0173,0.2,41.9,0.0,0.76,1.07
80.08,0.5096,1.79,52.4,4.0,1.03,0.98
43.33,0.3417,1.16,8.8,0.0,0.22,0.59
37.48,0.2967,1.22,16.8,1.0,2.74,2.3
77.2,0.728,2.47,88.6,1.0,1.53,1.54
73.14,0.2162,1.05,67.7,0.0,0.43,0.76
85.96,0.7006,1.88,100.0,1.0,0.76,1.45
57.02,0.2818,1.16,54.0,1.0,0.86,0.53
43.02,0.1304,0.67,0.0,1.0,1.18,1.38
89.53,0.6394,2.05,33.4,2.0,2.78,2.68
62.55,0.1522,0.75,65.2,0.0,0.85,0.97
64.14,0.2307,1.09,25.2,3.0,0.96,1.06
41.45,0.3303,1.28,24.3,1.0,1.73,0.82
62.93,0.3305,1.26,21.0,0.0,0.67,1.19
66.93,0.375,1.5,48.9,2.0,0.75,0.86
79.01,0.1761,0.83,0.6,1.0,1.26,2.06
55.37,0.2276,0.99,38.5,0.0,1.98,2.44
40.03,0.1766,0.88,5.6,1.0,1.98,1.51
59.87,0.2961,1.12,31.7,4.0,2.98,1.59
43.47,0.2618,0.89,1.9,1.0,0.37,0.76
59.76,0.2789,0.92,2.1,1.0,0.94,0.84
44.84,0.2288,0.95,22.5,1.0,1.1,0.65
56.57,0.2747,1.05,42.3,1.0,0.35,0.93
68.29,0.3732,1.41,53.6,2.0,2.27,1.25
93.75,0.8006,2.87,69.8,3.0,3.58,2.26
44.95,0.3152,1.08,2.0,1.0,1.38,1.48
27.01,0.14,0.74,0.0,1.0,0.59,1.0
36.82,0.3168,1.49,6.6,1.0,1.03,0.82
43.89,0.2335,0.99,37.1,0.0,1.86,1.23
49.45,0.1698,0.86,6.2,0.0,0.27,0.49
54.29,0.4402,1.23,8.3,2.0,0.86,0.81
42.73,0.2912,1.09,3.9,2.0,0.5,0.85
28.71,0.3393,1.32,0.0,1.0,1.53,1.69
38.48,0.2553,1.15,18.7,3.0,1.75,1.02
67.77,0.4395,1.6,43.7,0.0,0.44,0.59
85.55,0.3264,1.34,78.1,0.0,0.38,0.65
65.84,0.0935,0.84,59.0,0.0,0.42,0.18
86.93,0.4864,1.69,54.5,1.0,1.75,1.79
83.25,0.2861,1.33,5.0,2.0,1.59,1.54
59.18,0.4191,1.42,48.7,3.0,0.58,0.64
41.37,0.2785,1.09,38.3,3.0,3.79,1.2
17.26,0.2601,1.04,46.0,2.0,1.51,1.23
59.6,0.0948,0.69,12.2,1.0,0.75,0.4
66.96,0.3061,1.23,24.2,5.0,1.11,0.94
83.12,0.35,1.72,80.0,1.0,1.64,1.5
36.53,0.1593,0.84,20.9,1.0,0.53,0.87
32.7,0.2762,1.29,19.2,0.0,1.11,2.53
55.95,0.0876,0.53,38.0,1.0,0.97,0.63
44.31,0.2357,0.78,2.3,1.0,0.28,0.54
82.3,0.2669,1.2,77.3,2.0,1.16,0.59
44.48,0.2444,1.04,0.7,1.0,0.23,1.1
54.73,0.2305,0.99,21.3,1.0,1.05,0.49
50.34,0.3288,1.3,12.9,1.0,1.1,1.17
69.07,0.3378,1.32,20.4,1.0,1.25,0.91
67.79,0.2371,1.12,45.8,0.0,1.3,0.7
49.81,0.1887,1.05,0.0,1.0,0.24,0.61
75.05,0.3332,1.25,0.0,0.0,1.36,1.8
52.12,0.3407,1.15,18.2,1.0,1.04,0.77
58.27,0.3101,1.22,61.7,0.0,1.19,1.05
77.26,0.2154,0.87,0.9,1.0,1.15,0.67
65.54,0.3468,1.33,3.1,2.0,1.98,1.51
92.77,0.7699,2.51,66.5,3.0,2.18,2.59
42.63,0.3174,0.95,0.0,0.0,0.38,0.75
48.24,0.292,1.11,11.8,1.0,0.52,1.41
37.59,0.1454,0.78,13.7,2.0,2.07,1.2
56.44,0.2338,0.79,10.2,0.0,0.82,0.49
49.01,0.2108,0.9,66.0,1.0,1.13,0.93
82.78,0.2833,1.14,0.0,1.0,0.82,0.98
56.55,0.3543,1.24,33.4,4.0,0.79,0.78
55.04,0.2869,1.1,0.0,1.0,1.02,0.59
18.14,0.1086,0.84,0.0,1.0,1.04,1.36
62.0,0.4369,1.46,12.6,1.0,1.05,1.13
74.19,0.455,1.75,66.2,0.0,1.38,1.61
43.49,0.1682,0.74,22.9,3.0,0.97,0.93
58.28,0.3468,1.32,31.5,0.0,1.81,1.79
41.38,0.3623,1.45,25.6,1.0,0.79,0.6
63.78,0.0205,0.48,35.8,0.0,0.21,0.36
25.31,0.1632,0.8,21.7,0.0,0.21,0.28
71.23,0.1826,0.74,0.0,0.0,1.14,0.7
62.79,0.2114,0.81,39.3,0.0,0.15,0.37
72.95,0.0474,0.25,13.9,2.0,0.2,0.28
47.61,0.3808,1.28,0.7,1.0,0.32,1.06
43.81,0.3639,1.42,15.7,2.0,0.63,0.5
90.05,0.675,2.26,0.0,1.0,0.91,1.4
33.86,0.2931,1.28,18.6,0.0,1.79,1.19
85.29,0.1201,0.8,59.9,2.0,0.17,0.36
55.13,0.0598,0.49,28.9,0.0,0.23,0.2
76.74,0.4047,1.65,56.5,2.0,1.02,1.52
61.38,0.2536,1.12,0.4,2.0,0.67,0.93
81.95,0.5894,1.74,65.3,4.0,3.94,3.39
58.19,0.0983,0.57,20.8,2.0,0.72,0.99
43.8,0.1714,0.86,10.6,1.0,0.32,0.87
25.89,0.2355,0.84,45.3,2.0,0.58,0.34
47.25,0.3282,1.1,0.0,3.0,1.85,1.21
58.32,0.0536,0.46,37.4,2.0,1.27,0.87
81.86,0.4728,1.57,57.8,5.0,0.4,0.98
84.72,0.4674,1.46,74.5,2.0,1.37,1.59
59.53,0.3581,1.31,15.6,1.0,0.58,0.81
82.83,0.4293,1.49,61.9,3.0,2.87,1.48
67.59,0.341,1.27,16.6,0.0,0.43,0.93
46.27,0.3662,1.46,100.0,0.0,0.77,0.77
41.12,0.2351,0.81,38.3,0.0,0.34,0.77
59.7,0.1705,0.79,21.3,0.0,0.32,0.73
80.07,0.4467,1.58,66.0,2.0,0.92,0.87
28.82,0.1458,0.75,13.5,2.0,0.86,1.31
93.92,0.4676,1.68,74.6,1.0,1.89,3.05
60.43,0.1,0.47,0.0,1.0,0.69,0.62
46.9,0.2935,1.08,29.4,0.0,0.33,1.18
44.44,0.2291,0.9,100.0,0.0,0.32,0.6
42.75,0.27399999999999997,0.92,63.1,1.0,1.04,0.5
83.27,0.1703,1.14,77.8,3.0,1.15,1.46
47.96,0.2784,0.99,38.5,2.0,1.81,1.18
70.14,0.0949,0.85,37.8,1.0,0.15,0.21
24.53,0.2176,0.98,15.2,2.0,1.29,0.51
56.84,0.2221,1.15,41.7,1.0,0.78,1.93
80.19,0.2368,1.1,100.0,2.0,1.59,1.32
56.26,0.0534,0.36,25.2,0.0,0.19,0.22
30.68,0.326,1.46,23.3,2.0,1.44,1.65
52.42,0.2979,0.96,13.8,0.0,1.79,1.23
54.62,0.221,0.76,17.8,0.0,0.2,0.67
65.3,0.2607,1.13,30.7,0.0,0.99,1.1
44.33,0.0235,0.27,14.2,0.0,0.18,0.61
40.0,0.0952,0.51,23.6,0.0,1.24,1.02
31.64,0.2593,1.06,20.4,3.0,2.18,0.89
75.06,0.1322,0.84,67.9,1.0,0.48,0.93
71.21,0.2472,0.74,0.0,1.0,0.27,0.75
53.99,0.2608,1.21,29.0,1.0,0.88,0.91
73.46,0.34299999999999997,1.26,91.8,2.0,0.93,0.88
35.17,0.3023,1.29,16.4,1.0,1.5,1.6
41.44,0.2655,0.99,8.0,0.0,0.98,0.75
46.3,0.1257,0.77,30.7,1.0,0.64,0.75
38.79,0.3021,1.24,0.1,2.0,0.44,0.77
33.69,0.0568,0.65,0.8,1.0,0.49,0.76
43.42,0.3715,1.24,1.2,3.0,1.45,1.35
66.54,0.3984,1.44,0.0,0.0,0.84,1.26
41.83,0.1007,0.65,41.3,3.0,2.12,0.79
57.56,0.2702,1.0,18.5,3.0,0.99,0.52
48.99,0.4441,1.52,86.9,4.0,4.14,1.61
83.97,0.4218,1.48,64.8,0.0,0.72,1.66
54.47,0.2247,0.87,0.3,1.0,0.69,0.93
58.8,0.1223,0.92,68.4,0.0,0.21,0.22
36.11,0.0816,0.49,0.1,1.0,1.01,0.79
33.49,0.3745,1.39,6.9,4.0,2.79,1.64
67.49,0.317,1.2,24.0,2.0,0.76,0.68
69.13,0.4783,1.49,54.3,3.0,2.63,2.32
45.28,0.2745,1.0,5.0,2.0,2.48,1.27
85.82,0.3733,1.33,1.2,0.0,0.6,1.06
70.66,0.3007,1.21,0.0,0.0,0.57,1.11
45.06,0.3106,1.06,30.5,2.0,1.73,1.51
60.24,0.3146,1.19,36.4,1.0,0.99,1.26
64.93,0.5407,1.91,89.9,2.0,0.46,1.02
20.56,0.1969,0.89,40.8,1.0,1.96,0.61
57.27,0.3277,1.12,0.1,1.0,1.57,1.34
72.49,0.3249,1.46,79.3,1.0,1.38,2.0
47.82,0.18899999999999997,0.8,27.3,2.0,1.2,2.2
59.93,0.1971,0.83,50.1,0.0,0.37,0.81
84.86,0.6365,2.2,0.0,4.0,1.62,2.74
63.72,0.5242,1.57,63.9,0.0,0.78,1.56
32.47,0.4384,1.65,38.3,0.0,0.67,1.38
44.49,0.0204,0.27,44.8,0.0,0.15,0.17
37.14,0.3004,1.22,14.0,0.0,0.44,1.09
92.73,0.5572,2.33,58.5,3.0,2.54,1.47
35.33,0.2235,0.87,26.4,1.0,0.57,0.91
64.72,0.1907,1.08,2.5,0.0,0.86,0.76
50.32,0.2811,1.21,0.0,2.0,0.45,0.84
65.41,0.2111,1.1,35.8,3.0,0.92,0.89
58.61,0.3227,1.16,32.4,1.0,2.04,2.05
84.06,0.3204,1.54,58.2,2.0,2.54,1.95
55.17,0.3693,1.13,19.2,3.0,1.24,1.36
57.12,0.485,1.58,63.0,1.0,1.4,1.72
60.65,0.2232,0.93,44.0,2.0,1.69,0.96
55.39,0.0127,0.2,24.7,1.0,1.85,1.67
68.25,0.4575,1.61,0.0,3.0,3.19,1.57
77.69,0.6509,2.11,0.0,1.0,1.21,2.01
74.21,0.2172,1.06,78.9,3.0,0.82,0.72
54.58,0.2278,0.79,9.5,1.0,1.15,0.61
45.07,0.2776,0.96,13.8,0.0,0.72,1.17
70.53,0.3189,1.15,0.0,0.0,0.21,0.37
46.17,0.1384,0.85,41.1,1.0,0.77,0.6
36.55,0.2328,0.99,42.5,3.0,1.81,0.53
73.48,0.4498,1.48,13.9,1.0,1.19,2.57
38.1,0.1945,0.92,100.0,2.0,1.65,2.19
62.31,0.3097,1.13,19.5,1.0,0.98,0.72
58.57,0.2716,0.92,5.6,1.0,1.22,0.68
76.62,0.2384,1.06,100.0,1.0,0.39,0.56
65.15,0.2283,0.9,26.6,1.0,0.48,1.02
46.0,0.2509,0.95,22.6,0.0,0.68,1.33
35.68,0.3225,1.37,11.9,2.0,0.63,0.66
32.12,0.2328,1.14,20.1,0.0,0.46,1.21
69.83,0.3952,1.41,62.0,2.0,2.01,1.02
76.71,0.4669,1.58,100.0,1.0,1.92,1.16
73.98,0.5279,1.86,45.9,3.0,2.06,0.77
36.74,0.16699999999999998,0.74,0.0,1.0,0.76,1.2
41.28,0.3121,1.07,0.1,1.0,0.66,1.0
87.26,0.3929,1.01,73.3,2.0,0.61,0.91
75.59,0.5343,1.94,57.8,2.0,2.11,1.61
53.0,0.10400000000000001,0.46,27.6,2.0,1.03,0.47
61.85,0.2414,1.17,63.9,1.0,0.4,0.38
24.46,0.1012,0.56,15.3,1.0,1.61,0.94
70.54,0.4353,1.35,17.2,1.0,0.93,1.07
78.27,0.6869,2.2,73.1,3.0,3.07,2.44
43.49,0.0244,0.3,43.8,0.0,0.49,0.82
44.26,0.1486,0.67,90.7,2.0,1.66,0.98
72.18,0.37,1.24,23.4,2.0,1.21,0.22
55.17,0.2353,1.0,45.7,1.0,1.09,1.5
73.09,0.5328,1.7,98.0,2.0,3.09,1.41
93.62,0.4667,1.83,22.3,7.0,1.53,1.42
46.98,0.0116,0.2,34.3,0.0,0.55,0.47
74.35,0.5269,1.82,57.1,0.0,0.99,1.31
93.91,0.6143,1.93,61.9,3.0,2.93,1.64
36.37,0.3304,1.37,38.7,1.0,2.06,1.41
53.13,0.2424,0.95,39.5,1.0,0.37,0.57
40.74,0.16699999999999998,0.61,21.0,1.0,1.31,0.47
45.44,0.1175,0.63,0.2,0.0,0.34,0.36
51.46,0.2782,1.22,26.0,3.0,1.8,1.03
87.08,0.3778,1.3,65.6,1.0,0.85,1.16
60.92,0.0593,0.39,10.9,2.0,0.94,1.16
75.84,0.4057,1.7,42.4,2.0,0.97,0.72
60.37,0.1497,0.88,13.4,1.0,0.39,0.36
41.07,0.3342,1.23,60.0,2.0,1.12,1.72
78.73,0.4942,1.63,68.3,0.0,0.9,1.06
43.75,0.47200000000000003,1.71,89.4,1.0,1.82,0.88
49.47,0.4257,1.91,0.0,3.0,1.57,2.87
50.3,0.3593,1.09,58.6,1.0,1.71,1.44
60.49,0.2401,0.89,38.3,2.0,0.74,1.03
85.0,0.4133,1.49,0.0,2.0,1.93,2.15
42.29,0.2054,0.86,22.6,1.0,1.09,1.05
90.49,0.546,1.89,12.5,1.0,1.92,2.95
48.07,0.3378,1.19,100.0,0.0,0.43,1.23
89.27,0.5299,1.64,8.2,1.0,1.16,1.99
40.7,0.2833,1.11,17.7,0.0,0.29,1.26
75.99,0.5705,2.0,61.5,5.0,2.18,1.75
45.05,0.3208,1.09,19.4,0.0,0.39,0.8
57.8,0.2269,0.73,10.3,1.0,0.8,1.19
67.24,0.2585,0.8,26.4,2.0,1.09,0.9
83.85,0.6868,2.13,36.1,3.0,1.81,1.59
67.35,0.3675,1.4,41.6,5.0,1.98,1.14
63.98,0.2184,0.82,18.5,3.0,1.63,0.75
36.61,0.2226,1.03,12.4,1.0,1.55,1.05
79.02,0.4333,1.46,47.4,1.0,1.13,1.25
74.6,0.5059,1.67,80.0,2.0,1.43,1.46
61.09,0.2137,1.12,2.9,0.0,2.17,0.59
82.23,0.2813,1.35,67.3,0.0,0.91,0.57
33.94,0.32,1.18,18.2,0.0,0.1,0.42
74.43,0.4262,1.62,54.0,1.0,2.01,1.83
50.77,0.5439,1.9,85.9,3.0,1.81,1.22
51.35,0.375,1.18,0.0,1.0,1.03,0.27
23.76,0.0576,0.44,13.7,0.0,0.78,1.27
26.6,0.2213,0.88,27.2,0.0,0.29,0.6
59.86,0.2871,1.27,14.3,1.0,1.6,1.13
48.74,0.0532,0.31,54.6,1.0,1.43,1.24
44.1,0.1614,0.67,15.0,0.0,0.14,0.15
63.55,0.146,0.81,33.9,0.0,1.45,1.47
44.21,0.1495,0.76,51.2,0.0,0.27,0.56
43.07,0.2406,0.9,0.0,3.0,2.12,1.77
52.87,0.3585,1.08,0.0,1.0,1.39,1.17
62.29,0.2323,0.89,26.0,0.0,0.33,1.42
46.35,0.2899,1.09,0.6,2.0,1.56,1.52
51.89,0.3683,1.47,11.5,1.0,1.8,1.62
48.53,0.2287,0.92,28.1,2.0,0.93,0.98
29.08,0.2123,0.98,25.4,1.0,0.92,0.55
78.77,0.2216,0.82,51.2,2.0,0.75,1.12
44.19,0.1076,0.58,51.2,0.0,0.57,0.81
49.02,0.2968,0.88,7.3,0.0,0.39,1.07
40.88,0.2199,1.07,10.3,2.0,1.25,1.21
39.85,0.2891,1.17,22.9,1.0,0.39,0.41
56.78,0.2035,0.86,37.3,0.0,1.31,1.98
62.21,0.3402,1.28,20.5,0.0,0.48,0.47
53.74,0.40299999999999997,1.51,20.9,1.0,0.72,0.79
50.32,0.2231,0.8,54.5,1.0,1.58,0.55
71.44,0.377,1.39,3.8,1.0,1.21,0.79
60.55,0.3718,1.23,0.9,1.0,1.86,1.17
47.58,0.4163,1.46,24.2,1.0,2.53,1.09
52.43,0.0773,0.41,12.3,0.0,0.16,0.4
78.85,0.2891,1.16,32.2,1.0,0.93,1.47
60.82,0.2569,1.23,27.1,0.0,0.46,1.39
50.09,0.2359,0.96,56.3,1.0,0.48,0.96
31.03,0.3898,1.51,33.8,0.0,2.33,1.23
81.26,0.5044,1.57,66.3,1.0,2.14,3.42
56.41,0.1291,0.77,15.6,0.0,0.98,0.98
53.62,0.2298,0.99,28.6,0.0,1.3,1.54
62.53,0.4114,1.42,11.1,2.0,1.76,0.76
80.11,0.1901,0.9,66.9,0.0,1.68,2.06
65.31,0.1291,0.81,21.0,2.0,0.59,0.92
60.67,0.4315,1.38,4.4,1.0,0.66,0.78
54.46,0.1511,0.7,15.5,0.0,1.58,0.4
56.78,0.2458,1.01,38.3,3.0,2.03,1.81
64.72,0.2543,1.02,33.8,2.0,1.15,0.98
60.24,0.1631,0.89,23.5,1.0,0.41,0.63
38.47,0.2949,1.08,6.8,1.0,0.39,0.97
28.47,0.0698,0.59,16.5,5.0,1.86,0.61
68.8,0.2952,0.97,100.0,2.0,0.64,0.5
28.91,0.076,0.66,0.5,0.0,0.54,0.92
82.36,0.3282,0.93,0.0,1.0,0.82,0.37
62.7,0.3131,1.11,27.2,2.0,1.07,1.16
29.21,0.2955,1.18,100.0,1.0,1.25,1.17
38.0,0.2402,0.77,37.0,3.0,1.21,1.36
49.6,0.293,1.02,65.0,1.0,0.07,0.12
34.92,0.1616,0.89,20.3,0.0,1.43,0.47
43.17,0.0772,0.56,66.5,1.0,0.68,0.75
52.38,0.2042,0.88,36.5,0.0,0.63,0.51
70.73,0.1847,0.78,23.1,3.0,2.53,1.28
42.25,0.2116,1.04,21.5,0.0,0.89,1.21
62.53,0.3619,1.17,16.8,0.0,0.33,1.05
80.71,0.4547,1.69,61.7,4.0,2.27,1.49
80.73,0.5421,2.17,55.5,1.0,0.89,0.66
27.43,0.252,1.16,20.8,1.0,0.75,1.45
58.34,0.4581,1.51,12.7,2.0,1.37,1.1
72.22,0.2457,1.15,100.0,3.0,1.37,0.9
31.44,0.1211,0.79,0.0,0.0,0.84,1.11
44.38,0.0627,0.63,49.2,0.0,0.2,0.56
