spi2,prob2,proj_score2,importance2,score2,xg2,nsxg2
28.53,0.2489,1.37,21.1,1.0,1.09,1.19
60.33,0.4372,1.5,67.7,0.0,1.35,1.71
85.13,0.5579,1.73,55.9,1.0,1.11,1.13
54.27,0.23800000000000002,1.02,13.4,0.0,0.41,1.53
37.17,0.2611,0.95,0.0,2.0,1.27,1.33
27.96,0.2584,1.0,39.8,1.0,1.65,0.94
88.9,0.7139,2.52,54.0,3.0,2.88,1.99
57.53,0.2996,1.01,0.0,1.0,1.18,0.9
73.58,0.2996,1.13,0.6,0.0,0.22,0.66
73.92,0.326,1.38,72.3,1.0,0.72,1.21
66.47,0.1134,0.79,39.4,1.0,1.09,0.92
59.86,0.1954,0.94,31.6,0.0,0.23,1.58
45.78,0.2344,0.99,43.7,1.0,0.73,0.82
64.43,0.3173,1.02,10.4,2.0,1.79,0.72
49.24,0.0821,0.45,100.0,3.0,1.94,0.85
68.09,0.052000000000000005,0.5,59.7,2.0,2.24,1.05
20.49,0.2612,1.08,46.3,0.0,1.68,2.09
38.78,0.4566,1.62,19.3,0.0,2.52,2.45
34.67,0.1521,0.78,32.3,2.0,1.2,0.53
71.31,0.3079,1.17,13.1,1.0,1.1,1.3
61.91,0.5058,1.64,15.6,2.0,1.22,1.23
37.1,0.3041,1.05,59.0,1.0,1.5,1.39
48.7,0.2483,0.94,42.2,0.0,0.76,0.45
53.35,0.3025,1.13,0.0,1.0,0.97,1.19
55.83,0.2126,0.8,0.1,3.0,2.19,1.61
25.31,0.2546,1.23,14.3,2.0,2.06,1.51
36.18,0.2058,0.87,15.3,1.0,2.06,2.12
66.94,0.255,0.92,0.0,2.0,0.75,1.11
85.27,0.5171,2.03,53.3,2.0,2.11,2.48
40.33,0.1243,0.76,26.6,0.0,0.37,0.58
20.06,0.2641,0.96,49.0,4.0,2.17,2.07
42.78,0.3154,1.24,14.3,1.0,0.97,1.92
81.78,0.4029,1.83,1.1,1.0,1.5,1.45
40.95,0.2481,0.88,33.0,0.0,1.35,0.68
61.56,0.0798,0.6,11.1,1.0,1.23,1.5
84.76,0.4288,1.77,61.4,2.0,1.32,1.94
37.88,0.2431,0.83,3.4,0.0,0.62,0.82
61.01,0.3995,1.3,0.0,2.0,1.41,0.92
80.43,0.2284,1.2,100.0,1.0,0.6,0.74
39.94,0.3202,1.25,0.0,1.0,0.24,1.13
63.49,0.263,1.05,2.1,0.0,0.73,1.0
47.71,0.2438,0.96,25.9,1.0,1.17,1.26
29.02,0.2927,1.1,22.2,3.0,0.41,0.72
47.98,0.2891,1.28,12.2,1.0,0.7,1.24
38.36,0.2922,1.13,6.9,0.0,1.14,0.59
39.13,0.3118,1.39,25.9,2.0,1.1,1.43
56.33,0.445,1.43,46.1,1.0,1.45,1.99
42.64,0.2284,0.89,14.3,1.0,0.71,0.8
31.84,0.3037,1.29,29.2,2.0,0.9,1.03
68.09,0.19899999999999998,0.9,100.0,0.0,1.28,0.98
66.24,0.2651,1.05,3.5,0.0,1.18,1.55
41.55,0.237,1.03,39.5,0.0,0.15,0.31
41.6,0.225,0.91,1.9,1.0,1.36,1.2
38.59,0.2003,0.9,27.4,0.0,0.29,0.59
78.87,0.552,1.79,56.4,0.0,1.19,2.36
35.26,0.4208,1.49,15.8,4.0,2.84,2.11
35.46,0.2939,1.26,20.2,1.0,0.44,0.94
41.82,0.2818,0.97,44.3,0.0,0.65,1.3
60.32,0.4578,1.48,47.3,1.0,1.29,0.91
81.19,0.3565,1.18,15.1,1.0,2.56,2.43
41.85,0.3451,1.17,0.7,1.0,1.69,1.44
77.42,0.3639,1.56,78.7,1.0,1.53,1.31
29.31,0.2837,1.17,20.3,0.0,1.0,1.06
36.02,0.1697,0.98,26.8,2.0,1.15,0.73
48.79,0.2609,1.02,10.1,1.0,1.22,1.01
72.49,0.4854,1.51,68.7,2.0,1.93,1.49
68.3,0.3003,1.29,27.6,3.0,3.25,1.85
36.79,0.262,1.19,37.6,0.0,0.21,0.51
55.9,0.2634,0.98,27.8,2.0,2.73,2.29
54.89,0.3435,1.3,22.3,0.0,1.17,0.62
93.56,0.6887,2.38,100.0,2.0,2.65,1.79
49.71,0.0273,0.33,37.4,0.0,0.43,1.11
57.44,0.337,1.44,19.7,0.0,0.87,1.75
40.45,0.1982,0.88,47.0,1.0,1.32,0.57
26.08,0.2524,1.13,17.9,1.0,1.97,0.48
56.62,0.2571,1.04,28.8,0.0,0.43,0.91
20.22,0.1597,0.79,38.1,1.0,1.32,0.65
45.63,0.2826,1.15,15.1,0.0,0.63,1.66
75.33,0.5546,1.61,100.0,4.0,1.46,0.77
67.81,0.2137,0.84,0.9,1.0,1.31,1.45
78.43,0.3418,1.6,12.2,1.0,1.91,1.13
67.99,0.1917,0.79,36.5,1.0,0.67,0.57
57.4,0.2575,0.98,14.9,0.0,0.85,0.76
57.11,0.2392,0.92,24.1,0.0,0.89,0.52
60.29,0.2799,1.17,38.9,1.0,1.07,1.44
78.01,0.1506,1.04,0.0,1.0,1.01,0.56
44.01,0.259,0.98,0.7,2.0,1.44,0.32
61.44,0.3091,1.15,23.5,0.0,0.85,0.75
31.67,0.3269,1.23,43.0,1.0,2.6,1.5
54.98,0.2927,0.91,42.2,2.0,1.75,1.25
76.06,0.2375,1.05,63.2,3.0,2.35,1.48
60.11,0.1295,0.76,15.2,1.0,1.16,1.0
63.23,0.0809,0.67,11.7,2.0,0.97,0.46
68.21,0.38,1.3,60.1,1.0,1.18,0.46
64.22,0.3877,1.34,12.2,1.0,1.37,1.11
72.48,0.4604,1.47,45.4,0.0,0.47,1.38
44.15,0.3317,1.13,32.1,1.0,0.91,0.97
49.82,0.3403,1.3,35.1,2.0,0.88,1.4
67.87,0.2392,0.9,3.1,1.0,0.54,1.59
85.94,0.6546,1.84,57.5,1.0,0.89,2.04
79.51,0.3039,1.22,0.0,0.0,0.23,0.54
58.32,0.4883,1.41,100.0,3.0,1.76,1.5
25.83,0.166,0.82,11.3,0.0,0.39,1.26
24.71,0.27699999999999997,0.92,32.8,0.0,0.57,1.06
82.67,0.3823,1.53,100.0,1.0,1.65,1.72
63.6,0.5335,1.74,26.1,0.0,1.09,1.02
39.53,0.2206,0.8,0.0,0.0,0.93,0.94
41.63,0.2874,1.09,8.8,1.0,1.63,1.05
29.5,0.4943,1.64,24.0,3.0,3.1,2.34
91.83,0.6737,2.27,0.3,4.0,1.47,2.4
48.7,0.3274,1.24,20.4,0.0,0.82,2.44
60.08,0.5203,1.89,63.4,4.0,2.76,1.5
92.82,0.6566,2.52,31.4,1.0,1.38,3.06
71.91,0.1749,0.84,0.0,1.0,1.23,1.07
30.11,0.2156,0.96,23.3,0.0,0.45,0.37
37.59,0.0728,0.56,0.0,2.0,1.24,0.87
40.33,0.3161,1.46,33.4,2.0,0.92,1.6
78.69,0.5579999999999999,1.96,42.6,4.0,2.79,1.1
54.43,0.2193,0.75,46.3,3.0,1.3,0.8
58.37,0.0248,0.32,5.1,1.0,2.2,1.9
19.0,0.2078,0.87,48.8,1.0,1.29,1.54
23.68,0.0757,0.56,0.0,0.0,0.14,0.5
29.81,0.2509,0.98,41.8,0.0,0.36,0.6
35.8,0.2896,1.26,23.1,1.0,0.75,0.7
44.16,0.2375,0.91,0.3,0.0,0.82,0.63
47.86,0.2148,0.87,54.4,0.0,0.15,0.45
32.26,0.2947,1.46,34.7,1.0,1.47,1.16
95.76,0.5402,1.69,92.3,2.0,2.4,1.47
59.8,0.1321,0.67,0.4,0.0,0.53,1.13
63.65,0.2486,1.01,14.4,0.0,0.49,0.5
39.67,0.0155,0.2,37.6,1.0,0.1,0.45
64.82,0.3104,1.02,2.7,0.0,0.98,0.9
39.54,0.3923,1.27,3.3,1.0,0.54,0.97
33.24,0.4174,1.67,11.8,1.0,0.24,0.56
29.81,0.0592,0.48,13.5,1.0,1.19,0.84
39.46,0.2753,1.1,25.3,6.0,1.24,1.0
55.26,0.4942,1.8,72.0,0.0,0.71,1.01
41.25,0.2567,0.99,35.0,2.0,1.41,0.95
46.31,0.0467,0.42,14.8,0.0,0.74,0.12
25.76,0.0754,0.67,41.8,2.0,0.69,0.49
55.98,0.2404,1.04,0.0,0.0,0.39,1.38
40.42,0.3193,1.06,0.4,0.0,0.55,0.66
38.2,0.2847,0.88,45.0,0.0,0.5,1.05
56.91,0.1551,0.74,9.3,1.0,0.28,0.54
75.65,0.5914,1.98,64.2,1.0,2.26,1.98
59.23,0.2639,1.02,16.2,0.0,1.19,0.86
86.21,0.7912,2.12,60.9,2.0,0.54,0.44
42.12,0.2945,1.36,26.8,1.0,0.32,0.39
53.32,0.2879,1.32,12.5,2.0,2.51,1.32
68.94,0.2712,0.95,100.0,1.0,0.34,0.67
48.35,0.153,0.59,74.3,0.0,0.72,1.39
53.42,0.3287,1.21,13.5,0.0,0.31,0.63
58.2,0.1062,0.75,4.8,0.0,0.18,0.4
57.81,0.3338,1.15,24.8,0.0,0.48,1.42
41.8,0.3036,1.23,53.2,2.0,0.6,1.06
